date,comp,rodada,mando,resultado,gp,gc,adversario,team
2020-09-19,Premier League,Matchweek 2,Home,L,1,3,Crystal Palace,Manchester United
2020-09-26,Premier League,Matchweek 3,Away,W,3,2,Brighton,Manchester United
2020-10-04,Premier League,Matchweek 4,Home,L,1,6,Tottenham,Manchester United
2020-10-17,Premier League,Matchweek 5,Away,W,4,1,Newcastle Utd,Manchester United
2020-10-24,Premier League,Matchweek 6,Home,D,0,0,Chelsea,Manchester United
2020-11-01,Premier League,Matchweek 7,Home,L,0,1,Arsenal,Manchester United
2020-11-07,Premier League,Matchweek 8,Away,W,3,1,Everton,Manchester United
2020-11-21,Premier League,Matchweek 9,Home,W,1,0,West Brom,Manchester United
2020-11-29,Premier League,Matchweek 10,Away,W,3,2,Southampton,Manchester United
2020-12-05,Premier League,Matchweek 11,Away,W,3,1,West Ham,Manchester United
2020-12-12,Premier League,Matchweek 12,Home,D,0,0,Manchester City,Manchester United
2020-12-17,Premier League,Matchweek 13,Away,W,3,2,Sheffield Utd,Manchester United
2020-12-20,Premier League,Matchweek 14,Home,W,6,2,Leeds United,Manchester United
2020-12-26,Premier League,Matchweek 15,Away,D,2,2,Leicester City,Manchester United
2020-12-29,Premier League,Matchweek 16,Home,W,1,0,Wolves,Manchester United
2021-01-01,Premier League,Matchweek 17,Home,W,2,1,Aston Villa,Manchester United
2021-01-12,Premier League,Matchweek 1,Away,W,1,0,Burnley,Manchester United
2021-01-17,Premier League,Matchweek 19,Away,D,0,0,Liverpool,Manchester United
2021-01-20,Premier League,Matchweek 18,Away,W,2,1,Fulham,Manchester United
2021-01-27,Premier League,Matchweek 20,Home,L,1,2,Sheffield Utd,Manchester United
2021-01-30,Premier League,Matchweek 21,Away,D,0,0,Arsenal,Manchester United
2021-02-02,Premier League,Matchweek 22,Home,W,9,0,Southampton,Manchester United
2021-02-06,Premier League,Matchweek 23,Home,D,3,3,Everton,Manchester United
2021-02-14,Premier League,Matchweek 24,Away,D,1,1,West Brom,Manchester United
2021-02-21,Premier League,Matchweek 25,Home,W,3,1,Newcastle Utd,Manchester United
2021-02-28,Premier League,Matchweek 26,Away,D,0,0,Chelsea,Manchester United
2021-03-03,Premier League,Matchweek 29,Away,D,0,0,Crystal Palace,Manchester United
2021-03-07,Premier League,Matchweek 27,Away,W,2,0,Manchester City,Manchester United
2021-03-14,Premier League,Matchweek 28,Home,W,1,0,West Ham,Manchester United
2021-04-04,Premier League,Matchweek 30,Home,W,2,1,Brighton,Manchester United
2021-04-11,Premier League,Matchweek 31,Away,W,3,1,Tottenham,Manchester United
2021-04-18,Premier League,Matchweek 32,Home,W,3,1,Burnley,Manchester United
2021-04-25,Premier League,Matchweek 33,Away,D,0,0,Leeds United,Manchester United
2021-05-09,Premier League,Matchweek 35,Away,W,3,1,Aston Villa,Manchester United
2021-05-11,Premier League,Matchweek 36,Home,L,1,2,Leicester City,Manchester United
2021-05-13,Premier League,Matchweek 34,Home,L,2,4,Liverpool,Manchester United
2021-05-18,Premier League,Matchweek 37,Home,D,1,1,Fulham,Manchester United
